ticker,name,instrument_type
TSLL,Direxion Daily TSLA Bull 2X Shares,ETF
SQQQ,ProShares UltraPro Short QQQ,ETF
SOXL,Direxion Daily Semiconductor Bull 3X Shares,ETF
TLT,iShares 20+ Year Treasury Bond ETF,ETF
EWZ,iShares MSCI Brazil ETF,ETF
SPY,SPDR S&P 500 ETF Trust,ETF
SOXS,Direxion Daily Semiconductor Bear 3X Shares,ETF
TQQQ,ProShares UltraPro QQQ,ETF
FXI,iShares China Large-Cap ETF,ETF
EEM,iShares MSCI Emerging Markets ETF,ETF
NVD,Graniteshares 2x Short NVDA Daily ETF,ETF
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,ETF
GDX,VanEck Gold Miners ETF,ETF
XLF,The Financial Select Sector SPDR Fund,ETF
KWEB,KraneShares CSI China Internet ETF,ETF
NVDL,GraniteShares 2x Long NVDA Daily ETF,ETF
NVDQ,T-Rex 2X Inverse NVIDIA Daily Target ETF,ETF
QQQ,Invesco QQQ Trust,ETF
SLV,iShares Silver Trust,ETF
TSLT,T-Rex 2X Long Tesla Daily Target ETF,ETF
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,ETF
IWM,iShares Russell 2000 ETF,ETF
SPXS,Direxion Daily S&P 500 Bear 3X Shares,ETF
TZA,Direxion Daily Small Cap Bear 3X Shares,ETF
IBIT,iShares Bitcoin Trust,ETF
