ticker,name,instrument_type
ES=F,E-Mini S&P 500 Sep 24,future
YM=F,Mini Dow Jones Indus.-$5 Sep 24,future
NQ=F,Nasdaq 100 Sep 24,future
RTY=F,E-mini Russell 2000 Index Futur,future
ZB=F,"U.S. Treasury Bond Futures,Sep-",future
ZN=F,"10-Year T-Note Futures,Sep-2024",future
ZF=F,Five-Year US Treasury Note Futu,future
ZT=F,"2-Year T-Note Futures,Sep-2024",future
GC=F,Gold Aug 24,future
MGC=F,"Micro Gold Futures,Dec-2024",future
SI=F,Silver Sep 24,future
SIL=F,"Micro Silver Futures,Sep-2024",future
PL=F,Platinum Oct 24,future
HG=F,Copper Sep 24,future
PA=F,Palladium Sep 24,future
CL=F,Crude Oil Aug 24,future
HO=F,Heating Oil Aug 24,future
NG=F,Natural Gas Aug 24,future
RB=F,RBOB Gasoline Aug 24,future
BZ=F,Brent Crude Oil Last Day Financ,future
B0=F,Mont Belvieu LDH Propane (OPIS),future
ZC=F,"Corn Futures,Dec-2024",future
ZO=F,"Oat Futures,Dec-2024",future
KE=F,"KC HRW Wheat Futures,Sep-2024",future
ZR=F,"Rough Rice Futures,Sep-2024",future
ZM=F,"Soybean Meal Futures,Dec-2024",future
ZL=F,"Soybean Oil Futures,Dec-2024",future
ZS=F,"Soybean Futures,Nov-2024",future
GF=F,"Feeder Cattle Futures,Aug-2024",future
HE=F,"Lean Hogs Futures,Aug-2024",future
LE=F,"Live Cattle Futures,Aug-2024",future
CC=F,Cocoa Sep 24,future
KC=F,Coffee Sep 24,future
CT=F,Cotton Oct 24,future
LBS=F,Lumber May 23,future
OJ=F,Orange Juice Sep 24,future
SB=F,Sugar #11 Oct 24,future
