ticker,name,instrument_type
NVDA,NVIDIA Corporation,stock
TSLA,"Tesla, Inc.",stock
SIRI,Sirius XM Holdings Inc.,stock
NIO,NIO Inc.,stock
RIVN,"Rivian Automotive, Inc.",stock
AAPL,Apple Inc.,stock
PARA,Paramount Global,stock
LCID,"Lucid Group, Inc.",stock
AMZN,"Amazon.com, Inc.",stock
MARA,"Marathon Digital Holdings, Inc.",stock
VALE,Vale S.A.,stock
AMD,"Advanced Micro Devices, Inc.",stock
WBA,"Walgreens Boots Alliance, Inc.",stock
F,Ford Motor Company,stock
INTC,Intel Corporation,stock
AIRC,Apartment Income REIT Corp.,stock
LU,Lufax Holding Ltd,stock
XPEV,XPeng Inc.,stock
CLSK,"CleanSpark, Inc.",stock
GOLD,Barrick Gold Corporation,stock
PLTR,Palantir Technologies Inc.,stock
BAC,Bank of America Corporation,stock
IREN,Iris Energy Limited,stock
AAL,American Airlines Group Inc.,stock
ITUB,Itaú Unibanco Holding S.A.,stock
